Membership No  Date Joined  Active  
    82487      2020-11-21   yes   
    22508      2019-2-23    yes   
    39271      2015-9-8     no    
    88074      2018-11-9    no    
    47274      2019-9-1     yes   
    52805      2019-8-11    yes   
    41960      2018-11-2    yes   
    88447      2016-11-24   yes   
    11419      2019-11-18   yes   
    12076      2017-8-19    yes   
    47746      2019-8-19    yes   
    69553      2019-3-10    yes   
    35050      2015-2-10    no    
    69161      2015-9-16    yes   
    81938      2016-1-2     no    
    92367      2020-9-6     no    
    93491      2018-1-22    no    
    64078      2018-6-15    no    
    18223      2017-12-20   no    
    14295      2017-11-7    no    
